locality name,Price Range,Q/Q,trends,one bedroom,two bedroom,three bedroom
Mulund Colony,"Rs. 14,110 - 17,042/sq. ft.",10.54%  ,See Trends,"Rs. 15,895 - 19,168","Rs. 23,651 - 29,057",-
Nahur,"Rs. 13,472 - 15,130/sq. ft.",-3.54%  ,See Trends,"Rs. 17,850 - 18,870","Rs. 32,640 - 35,088","Rs. 39,738 - 49,088"
Nahur East,"Rs. 11,858 - 13,388/sq. ft.",3.08%  ,See Trends,-,"Rs. 24,276 - 27,132",-
Nahur Gaothan,"Rs. 12,920 - 14,960/sq. ft.",-,Not Available,-,-,-
Naidu Colony,"Rs. 16,235 - 18,488/sq. ft.",-,Not Available,-,-,-
Navghar,"Rs. 14,832 - 16,618/sq. ft.",-,Not Available,"Rs. 18,564 - 21,658",-,-
Neelam Nagar,"Rs. 13,855 - 16,405/sq. ft.",-1.91%  ,See Trends,"Rs. 18,938 - 21,779","Rs. 27,017 - 29,788",-
Nehru Nagar,"Rs. 13,345 - 14,875/sq. ft.",1.53%  ,See Trends,"Rs. 20,492 - 23,491","Rs. 26,444 - 33,443",-
Nirmal Nagar,"Rs. 15,172 - 16,320/sq. ft.",-,Not Available,-,"Rs. 29,554 - 32,666","Rs. 37,368 - 41,764"
Panchkutir Ganesh Nagar,"Rs. 27,328 - 30,940/sq. ft.",-,Not Available,-,"Rs. 54,979 - 63,497","Rs. 72,590 - 80,920"
Pant Nagar,"Rs. 14,790 - 18,445/sq. ft.",5.26%  ,See Trends,"Rs. 18,564 - 23,324","Rs. 36,152 - 45,006",-
Pestom Sagar Colony,"Rs. 11,220 - 15,300/sq. ft.",-,Not Available,"Rs. 22,338 - 24,572","Rs. 30,697 - 36,207",-
Police Colony,-,-,Not Available,"Rs. 18,445 - 20,230",-,-
Powai,"Rs. 16,830 - 20,145/sq. ft.",-0.7%  ,See Trends,"Rs. 26,227 - 31,472","Rs. 42,093 - 49,521","Rs. 63,291 - 80,665"
Pratikhsha Nagar,"Rs. 14,960 - 17,170/sq. ft.",-,Not Available,"Rs. 18,296 - 20,081","Rs. 25,882 - 26,499",-
Premier Colony,-,-,Not Available,"Rs. 23,588 - 24,225",-,-
Raheja Vihar,"Rs. 15,895 - 17,128/sq. ft.",2.89%  ,See Trends,"Rs. 25,245 - 28,050","Rs. 39,151 - 44,149","Rs. 54,825 - 58,650"
Rajiv Gandhi Nagar,"Rs. 12,878 - 14,068/sq. ft.",2.92%  ,See Trends,"Rs. 20,178 - 22,639","Rs. 26,104 - 29,631",-
Sangharsh Nagar,"Rs. 11,900 - 13,898/sq. ft.",-,Not Available,"Rs. 10,710 - 16,065","Rs. 34,362 - 39,391",-
Sarvodaya Nagar,"Rs. 12,112 - 13,940/sq. ft.",-,Not Available,-,-,-
Sarvoday Parshwanath Nagar,"Rs. 14,918 - 16,830/sq. ft.",-4.79%  ,See Trends,"Rs. 16,244 - 20,034",-,-
Siddharth Nagar,"Rs. 13,642 - 15,470/sq. ft.",0%     ,See Trends,-,-,-
Sion (East),"Rs. 17,128 - 21,760/sq. ft.",-,Not Available,"Rs. 19,560 - 23,117",-,"Rs. 39,440 - 50,532"
Sion (West),"Rs. 22,482 - 27,200/sq. ft.",6.08%  ,See Trends,"Rs. 25,048 - 30,246","Rs. 36,890 - 45,006",-
Tagore Nagar,"Rs. 11,135 - 12,240/sq. ft.",2.23%  ,See Trends,"Rs. 15,321 - 19,699","Rs. 26,775 - 29,750",-
Tambe Nagar,"Rs. 14,450 - 16,915/sq. ft.",0.28%  ,See Trends,"Rs. 18,799 - 21,272","Rs. 28,121 - 32,027","Rs. 36,184 - 38,378"
Tata Colony,-,-,Not Available,"Rs. 16,541 - 19,377",-,-
Tembhipada,"Rs. 11,135 - 12,155/sq. ft.",-,Not Available,-,-,-
Tilak Nagar,"Rs. 13,558 - 15,640/sq. ft.",2.12%  ,See Trends,"Rs. 18,438 - 23,048","Rs. 31,470 - 36,075","Rs. 49,266 - 52,961"
Tunga Village,"Rs. 14,408 - 15,598/sq. ft.",-,Not Available,"Rs. 26,489 - 27,489","Rs. 29,546 - 34,246",-
Vaishali Nagar,"Rs. 14,365 - 17,000/sq. ft.",-,Not Available,"Rs. 19,635 - 21,038",-,-
